time, action, id, version, name, status, code, sampling interval (s), sampling resolution (C), samples, time diff (s), start time, lat, long, accuracy, device, bad_col
2024-01-12 08:28:32 UTC+0100, TAP LOGGER, 04DC 6700 DD59 0F, NA, ptzzymh01a, WRONG PASSWORD, NA, NA, NA, NA, NA, NA, NA, NA, 2.3, Armor X10 Pro, 
2024-01-12 08:29:03 UTC+0100, DATA DOWNLOADED, 04DC 6700 DD59 0F, NA, ptzzymh01a, WRONG PASSWORD, NA, NA, NA, NA, NA, NA, NA, NA, 2.8, Armor X10 Pro, 
2024-01-12 08:29:12 UTC+0100, CODE CHANGE, 04DC 6700 DD59 0F, T2.4, ptzzymh01a,MISSION RUNNING, 1111, 3600, 0.1, 10294, 1624, 2022-11-09 11:00:13 UTC+0100, NA, NA, 2.7, Armor X10 Pro, 
2024-01-12 08:29:13 UTC+0100, START MISSION, 04DC 6700 DD59 0F, T2.4, ptzzymh01a,WAITING TO START, 1111, 3600, 0.1, NA, -3, 2024-01-12 09:00:00 UTC+0100, NA, NA, 2.7, Armor X10 Pro, 
2024-01-12 08:29:58 UTC+0100, TAP LOGGER, 04CB CC00 1507 0C, NA, ptzzymh02a, WRONG PASSWORD, NA, NA, NA, NA, NA, NA, NA, NA, 2.4, Armor X10 Pro, 
2024-01-12 08:30:30 UTC+0100, DATA DOWNLOADED, 04CB CC00 1507 0C, NA, ptzzymh02a, WRONG PASSWORD, NA, NA, NA, NA, NA, NA, NA, NA, 2.4, Armor X10 Pro, 
2024-01-12 08:30:34 UTC+0100, CODE CHANGE, 04CB CC00 1507 0C, T2.4, ptzzymh02a,MISSION RUNNING, 1111, 3600, 0.1, 10294, 1157, 2022-11-09 11:00:07 UTC+0100, NA, NA, 2.4, Armor X10 Pro, 
2024-01-12 08:30:35 UTC+0100, START MISSION, 04CB CC00 1507 0C, T2.4, ptzzymh02a,WAITING TO START, 1111, 3600, 0.1, NA, -2, 2024-01-12 09:00:01 UTC+0100, NA, NA, 2.4, Armor X10 Pro, 
2024-01-12 08:31:49 UTC+0100, TAP LOGGER, 0427 4000 911E 02, NA, ptzzymh03a, WRONG PASSWORD, NA, NA, NA, NA, NA, NA, NA, NA, 1.5, Armor X10 Pro, 
2024-01-12 08:32:21 UTC+0100, DATA DOWNLOADED, 0427 4000 911E 02, NA, ptzzymh03a, WRONG PASSWORD, NA, NA, NA, NA, NA, NA, NA, NA, 1.5, Armor X10 Pro, 
2024-01-12 08:32:25 UTC+0100, CODE CHANGE, 0427 4000 911E 02, T2.4, ptzzymh03a,MISSION RUNNING, 1111, 3600, 0.1, 10294, 1136, 2022-11-09 11:00:16 UTC+0100, NA, NA, 1.5, Armor X10 Pro, 
2024-01-12 08:32:26 UTC+0100, START MISSION, 0427 4000 911E 02, T2.4, ptzzymh03a,WAITING TO START, 1111, 3600, 0.1, NA, -2, 2024-01-12 09:00:01 UTC+0100, NA, NA, 1.5, Armor X10 Pro, 
2024-01-12 08:36:46 UTC+0100, TAP LOGGER, 04A5 8F00 C502 10, NA, ptzzymc03a, WRONG PASSWORD, NA, NA, NA, NA, NA, NA, NA, NA, 1.4, Armor X10 Pro, 
2024-01-12 08:37:17 UTC+0100, DATA DOWNLOADED, 04A5 8F00 C502 10, NA, ptzzymc03a, WRONG PASSWORD, NA, NA, NA, NA, NA, NA, NA, NA, 1.4, Armor X10 Pro, 
2024-01-12 08:37:21 UTC+0100, CODE CHANGE, 04A5 8F00 C502 10, T2.4, ptzzymc03a,MISSION RUNNING, 1111, 3600, 0.1, 10294, 633, 2022-11-09 11:00:01 UTC+0100, NA, NA, 1.4, Armor X10 Pro, 
2024-01-12 08:37:23 UTC+0100, START MISSION, 04A5 8F00 C502 10, T2.4, ptzzymc03a,WAITING TO START, 1111, 3600, 0.1, NA, -3, 2024-01-12 09:00:01 UTC+0100, NA, NA, 1.4, Armor X10 Pro, 
2024-01-12 08:38:34 UTC+0100, TAP LOGGER, 04CB 8F00 E758 05, NA, ptzzymc02a, WRONG PASSWORD, NA, NA, NA, NA, NA, NA, NA, NA, 1.4, Armor X10 Pro, 
2024-01-12 08:39:05 UTC+0100, DATA DOWNLOADED, 04CB 8F00 E758 05, NA, ptzzymc02a, WRONG PASSWORD, NA, NA, NA, NA, NA, NA, NA, NA, 1.4, Armor X10 Pro, 
2024-01-12 08:39:10 UTC+0100, CODE CHANGE, 04CB 8F00 E758 05, T2.4, ptzzymc02a,MISSION RUNNING, 1111, 3600, 0.1, 10294, 1083, 2022-11-09 11:00:12 UTC+0100, NA, NA, 1.4, Armor X10 Pro, 
2024-01-12 08:39:11 UTC+0100, START MISSION, 04CB 8F00 E758 05, T2.4, ptzzymc02a,WAITING TO START, 1111, 3600, 0.1, NA, -4, 2024-01-12 09:00:00 UTC+0100, NA, NA, 1.4, Armor X10 Pro, 
2024-01-12 08:40:00 UTC+0100, UNKNOW, 04CE CE00 4114 06, T2.4, ,MISSION RUNNING, 0000, 3600, 0.1, 10295, 1545, 2022-11-09 11:00:08 UTC+0100, NA, NA, 1.4, Armor X10 Pro, 
2024-01-12 08:40:09 UTC+0100, UNKNOW, 04CE CE00 4114 06, T2.4, ,MISSION RUNNING, 0000, 3600, 0.1, 10295, 1542, 2022-11-09 11:00:08 UTC+0100, NA, NA, 1.4, Armor X10 Pro, 
2024-01-12 08:40:15 UTC+0100, TAP LOGGER, 04CE CE00 4114 06, NA, ptzzymc01a, WRONG PASSWORD, NA, NA, NA, NA, NA, NA, NA, NA, 1.4, Armor X10 Pro, 
2024-01-12 08:40:46 UTC+0100, DATA DOWNLOADED, 04CE CE00 4114 06, NA, ptzzymc01a, WRONG PASSWORD, NA, NA, NA, NA, NA, NA, NA, NA, 1.4, Armor X10 Pro, 
2024-01-12 08:40:51 UTC+0100, CODE CHANGE, 04CE CE00 4114 06, T2.4, ptzzymc01a,MISSION RUNNING, 1111, 3600, 0.1, 10295, 1545, 2022-11-09 11:00:08 UTC+0100, NA, NA, 1.4, Armor X10 Pro, 
2024-01-12 08:40:52 UTC+0100, START MISSION, 04CE CE00 4114 06, T2.4, ptzzymc01a,WAITING TO START, 1111, 3600, 0.1, NA, -2, 2024-01-12 09:00:01 UTC+0100, NA, NA, 1.4, Armor X10 Pro, 